dateTime,value,date
07:50:00,1,2023-04-20
07:51:00,1,2023-04-20
07:52:00,1,2023-04-20
07:53:00,1,2023-04-20
07:54:00,2,2023-04-20
07:55:00,1,2023-04-20
07:56:00,1,2023-04-20
07:57:00,1,2023-04-20
07:58:00,1,2023-04-20
07:59:00,1,2023-04-20
08:00:00,1,2023-04-20
08:01:00,1,2023-04-20
08:02:00,1,2023-04-20
08:03:00,1,2023-04-20
08:04:00,1,2023-04-20
08:05:00,1,2023-04-20
08:06:00,1,2023-04-20
08:07:00,1,2023-04-20
08:08:00,1,2023-04-20
08:09:00,1,2023-04-20
08:10:00,1,2023-04-20
08:11:00,1,2023-04-20
08:12:00,1,2023-04-20
08:13:00,1,2023-04-20
08:14:00,1,2023-04-20
08:15:00,1,2023-04-20
08:16:00,1,2023-04-20
08:17:00,1,2023-04-20
08:18:00,1,2023-04-20
08:19:00,1,2023-04-20
08:20:00,1,2023-04-20
08:21:00,1,2023-04-20
08:22:00,1,2023-04-20
08:23:00,1,2023-04-20
08:24:00,1,2023-04-20
08:25:00,1,2023-04-20
08:26:00,1,2023-04-20
08:27:00,1,2023-04-20
08:28:00,1,2023-04-20
08:29:00,1,2023-04-20
08:30:00,1,2023-04-20
08:31:00,1,2023-04-20
08:32:00,1,2023-04-20
08:33:00,1,2023-04-20
08:34:00,2,2023-04-20
08:35:00,2,2023-04-20
08:36:00,2,2023-04-20
08:37:00,1,2023-04-20
08:38:00,1,2023-04-20
08:39:00,1,2023-04-20
08:40:00,1,2023-04-20
08:41:00,2,2023-04-20
08:42:00,2,2023-04-20
08:43:00,2,2023-04-20
08:44:00,1,2023-04-20
08:45:00,1,2023-04-20
08:46:00,1,2023-04-20
08:47:00,1,2023-04-20
08:48:00,2,2023-04-20
08:49:00,1,2023-04-20
08:50:00,1,2023-04-20
08:51:00,1,2023-04-20
08:52:00,1,2023-04-20
08:53:00,2,2023-04-20
08:54:00,1,2023-04-20
08:55:00,1,2023-04-20
08:56:00,1,2023-04-20
08:57:00,2,2023-04-20
08:58:00,2,2023-04-20
08:59:00,1,2023-04-20
09:00:00,1,2023-04-20
09:01:00,1,2023-04-20
09:02:00,1,2023-04-20
09:03:00,1,2023-04-20
09:04:00,1,2023-04-20
09:05:00,1,2023-04-20
09:06:00,1,2023-04-20
09:07:00,1,2023-04-20
09:08:00,1,2023-04-20
09:09:00,2,2023-04-20
09:10:00,1,2023-04-20
09:11:00,1,2023-04-20
09:12:00,1,2023-04-20
09:13:00,1,2023-04-20
09:14:00,1,2023-04-20
09:15:00,1,2023-04-20
09:16:00,1,2023-04-20
09:17:00,1,2023-04-20
09:18:00,1,2023-04-20
09:19:00,1,2023-04-20
09:20:00,1,2023-04-20
09:21:00,1,2023-04-20
09:22:00,1,2023-04-20
09:23:00,1,2023-04-20
09:24:00,1,2023-04-20
09:25:00,1,2023-04-20
09:26:00,1,2023-04-20
09:27:00,1,2023-04-20
09:28:00,1,2023-04-20
09:29:00,1,2023-04-20
09:30:00,1,2023-04-20
09:31:00,1,2023-04-20
09:32:00,2,2023-04-20
09:33:00,2,2023-04-20
09:34:00,2,2023-04-20
09:35:00,1,2023-04-20
09:36:00,1,2023-04-20
09:37:00,1,2023-04-20
09:38:00,1,2023-04-20
09:39:00,1,2023-04-20
09:40:00,1,2023-04-20
09:41:00,1,2023-04-20
09:42:00,1,2023-04-20
09:43:00,1,2023-04-20
09:44:00,1,2023-04-20
09:45:00,1,2023-04-20
09:46:00,1,2023-04-20
09:47:00,1,2023-04-20
09:48:00,1,2023-04-20
09:49:00,1,2023-04-20
09:50:00,1,2023-04-20
09:51:00,1,2023-04-20
09:52:00,1,2023-04-20
09:53:00,1,2023-04-20
09:54:00,1,2023-04-20
09:55:00,1,2023-04-20
09:56:00,1,2023-04-20
09:57:00,1,2023-04-20
09:58:00,1,2023-04-20
09:59:00,1,2023-04-20
00:46:30,1,2023-04-21
00:47:30,1,2023-04-21
00:48:30,1,2023-04-21
00:49:30,1,2023-04-21
00:50:30,1,2023-04-21
00:51:30,1,2023-04-21
00:52:30,1,2023-04-21
00:53:30,1,2023-04-21
00:54:30,1,2023-04-21
00:55:30,1,2023-04-21
00:56:30,1,2023-04-21
00:57:30,1,2023-04-21
00:58:30,1,2023-04-21
00:59:30,1,2023-04-21
01:00:30,1,2023-04-21
01:01:30,1,2023-04-21
01:02:30,1,2023-04-21
01:03:30,1,2023-04-21
01:04:30,1,2023-04-21
01:05:30,1,2023-04-21
01:06:30,1,2023-04-21
01:07:30,1,2023-04-21
